dataset,n_qubits,seed,k,arm,accuracy,balanced,f1
20News,4,4,32,spectral,0.7328385899814471,0.7263099219620959,0.7654723127035831
20News,4,4,32,random_live,0.6697588126159555,0.6604919175027871,0.7146171915274667
20News,4,4,32,random_all,0.634508348794063,0.620497491638796,0.6955393286242927
20News,4,4,64,spectral,0.7606679035250464,0.7538600891861762,0.7909238249594813
20News,4,4,64,random_live,0.7324675324675324,0.7263865663322185,0.7641733548464634
20News,4,4,64,random_all,0.6805194805194805,0.6712597547380156,0.7238786483539992
20News,4,4,128,spectral,0.7829313543599258,0.7776268115942029,0.8085106382978723
20News,4,4,128,random_live,0.766604823747681,0.7609378483835004,0.7944235337739034
20News,4,4,128,random_all,0.725417439703154,0.718634336677815,0.7592702221860843
20News,6,0,8,spectral,0.6289424860853432,0.6116531354983203,0.6941896024464832
20News,6,0,8,random_live,0.5551020408163264,0.5232054871220605,0.6619666627691896
20News,6,0,8,random_all,0.5721706864564007,0.5235596304591266,0.7037494618192521
20News,6,0,16,spectral,0.6586270871985158,0.6423152295632699,0.7177914110429447
20News,6,0,16,random_live,0.5428571428571429,0.5165999440089586,0.6400260493944648
20News,6,0,16,random_all,0.5658627087198516,0.5363185890257559,0.6653380668587043
20News,6,0,32,spectral,0.7179962894248608,0.7113661814109742,0.7532467532467533
20News,6,0,32,random_live,0.6085343228200372,0.590760078387458,0.6778425260869498
20News,6,0,32,random_all,0.587012987012987,0.5636646136618142,0.6707700855982931
20News,6,0,64,spectral,0.738404452690167,0.7333216685330347,0.7692307692307693
20News,6,0,64,random_live,0.6311688311688312,0.6193253079507278,0.6850175755704783
20News,6,0,64,random_all,0.6103896103896104,0.5947228443449049,0.6748615194205401
20News,6,0,128,spectral,0.764378478664193,0.7611772116461366,0.7900826446280992
20News,6,0,128,random_live,0.6738404452690168,0.6653639417693169,0.7164296428074417
20News,6,0,128,random_all,0.6423005565862708,0.6317049272116462,0.6925932278314357
20News,6,1,8,spectral,0.6289424860853432,0.6148391874144242,0.6884735202492211
20News,6,1,8,random_live,0.5636363636363637,0.5260471679660211,0.681512525181432
20News,6,1,8,random_all,0.5628942486085343,0.5180288931734988,0.6935254514830935
20News,6,1,16,spectral,0.6827458256029685,0.6683013384748652,0.7357032457496137
20News,6,1,16,random_live,0.5688311688311689,0.5447592701260234,0.6592864149759501
20News,6,1,16,random_all,0.5651205936920223,0.5295512336882109,0.6789626651653826
20News,6,1,32,spectral,0.7235621521335807,0.7088118590549641,0.7711213517665131
20News,6,1,32,random_live,0.6040816326530611,0.5865691452203314,0.6745607464134185
20News,6,1,32,random_all,0.5807050092764379,0.5576256741274765,0.6662480666316685
20News,6,1,64,spectral,0.7402597402597403,0.7282532763293934,0.78125
20News,6,1,64,random_live,0.6256029684601113,0.6108600888590828,0.6869193923432132
20News,6,1,64,random_all,0.6204081632653061,0.6084947047810657,0.6761240563445454
20News,6,1,128,spectral,0.7569573283858998,0.7454243160924358,0.7949921752738655
20News,6,1,128,random_live,0.6638218923933209,0.6556822309777294,0.7068856972349347
20News,6,1,128,random_all,0.6170686456400742,0.6036982703216252,0.6764038152976686
20News,6,2,8,spectral,0.673469387755102,0.658515259209116,0.7275541795665634
20News,6,2,8,random_live,0.5784786641929499,0.5397966378969933,0.6833475297603713
20News,6,2,8,random_all,0.576252319109462,0.5176171941106787,0.7092352410681648
20News,6,2,16,spectral,0.6938775510204082,0.6855643932983584,0.736
20News,6,2,16,random_live,0.5914656771799629,0.5648629209680149,0.675802437464011
20News,6,2,16,random_all,0.5758812615955474,0.544569019010549,0.6707185375328528
20News,6,2,32,spectral,0.7439703153988868,0.7389222654707508,0.7766990291262136
20News,6,2,32,random_live,0.6,0.5820908783212049,0.6681661608351991
20News,6,2,32,random_all,0.5766233766233767,0.5488407513961753,0.6646731082205621
20News,6,2,64,spectral,0.7606679035250464,0.7557327805043155,0.7915993537964459
20News,6,2,64,random_live,0.6230055658627087,0.6115078693518361,0.6771130093286828
20News,6,2,64,random_all,0.6204081632653061,0.6023509336041067,0.6859160829505986
20News,6,2,128,spectral,0.764378478664193,0.758362949173577,0.7961476725521669
20News,6,2,128,random_live,0.6816326530612244,0.6765922039826254,0.7197742611656259
20News,6,2,128,random_all,0.6267161410018554,0.619639532915891,0.672716529473248
20News,6,3,8,spectral,0.6382189239332097,0.6230814147480814,0.7022900763358778
20News,6,3,8,random_live,0.5595547309833023,0.5291332999666333,0.676794050551336
20News,6,3,8,random_all,0.5584415584415584,0.5266460905349793,0.6779942487149186
20News,6,3,16,spectral,0.6660482374768089,0.6524719163608053,0.7222222222222222
20News,6,3,16,random_live,0.5755102040816327,0.5558183183183184,0.6619240571651833
20News,6,3,16,random_all,0.5558441558441559,0.5239864864864866,0.6770333485695393
20News,6,3,32,spectral,0.6808905380333952,0.6718802135468802,0.7243589743589743
20News,6,3,32,random_live,0.5903525046382189,0.5760371482593705,0.6593694575526255
20News,6,3,32,random_all,0.5666048237476808,0.5486681125570014,0.6493729741778486
20News,6,3,64,spectral,0.7773654916512059,0.7704023467912358,0.8058252427184466
20News,6,3,64,random_live,0.6163265306122448,0.6066121677232788,0.6688925720111717
20News,6,3,64,random_all,0.604452690166976,0.5901276276276276,0.6716436075324914
20News,6,3,128,spectral,0.738404452690167,0.7338241018796574,0.7661691542288557
20News,6,3,128,random_live,0.6571428571428571,0.6509954398843287,0.6957241845825951
20News,6,3,128,random_all,0.6211502782931355,0.6087198309420531,0.6806164188746272
20News,6,4,8,spectral,0.6660482374768089,0.6562430323299888,0.7124600638977636
20News,6,4,8,random_live,0.5714285714285714,0.5430044593088071,0.6749081715203307
20News,6,4,8,random_all,0.568460111317254,0.5275027870680045,0.698474505744114
20News,6,4,16,spectral,0.6808905380333952,0.6708542363433668,0.7261146496815286
20News,6,4,16,random_live,0.5810760667903525,0.5584420289855072,0.6697175056075817
20News,6,4,16,random_all,0.5617810760667903,0.5203316610925307,0.693404608284735
20News,6,4,32,spectral,0.7235621521335807,0.7167154403567447,0.7577235772357723
20News,6,4,32,random_live,0.6103896103896104,0.5946474358974358,0.6778788614110134
20News,6,4,32,random_all,0.5825602968460112,0.5588754180602008,0.6734291363992371
20News,6,4,64,spectral,0.7551020408163265,0.7492544593088071,0.7843137254901961
20News,6,4,64,random_live,0.614100185528757,0.6016095317725754,0.6729258103970959
20News,6,4,64,random_all,0.6248608534322819,0.6106507803790413,0.686720192446238
20News,6,4,128,spectral,0.7866419294990723,0.7830267558528428,0.8092868988391376
20News,6,4,128,random_live,0.6782931354359926,0.6699108138238573,0.7203294276760632
20News,6,4,128,random_all,0.6385899814471243,0.6268896321070235,0.6923942575053165
