dataset,n_qubits,seed,k,moment,accuracy,balanced,f1
20News,6,2,32,covariance,0.7439703153988868,0.7389222654707508,0.7766990291262136
20News,6,2,50,second_moment,0.7458256029684601,0.7422857787555706,0.7765089722675367
20News,6,2,50,covariance,0.75139146567718,0.7476941952953122,0.7817589576547231
20News,6,2,64,second_moment,0.7588126159554731,0.7535397980481751,0.7903225806451613
20News,6,2,64,covariance,0.7606679035250464,0.7557327805043155,0.7915993537964459
20News,6,2,128,second_moment,0.764378478664193,0.7571924183448976,0.7974481658692185
20News,6,2,128,covariance,0.764378478664193,0.758362949173577,0.7961476725521669
20News,6,3,8,second_moment,0.6512059369202227,0.6404320987654322,0.7025316455696202
20News,6,3,8,covariance,0.6382189239332097,0.6230814147480814,0.7022900763358778
20News,6,3,16,second_moment,0.6846011131725418,0.6741533199866533,0.7310126582278481
20News,6,3,16,covariance,0.6660482374768089,0.6524719163608053,0.7222222222222222
20News,6,3,32,second_moment,0.7328385899814471,0.7254407184962741,0.7669902912621359
20News,6,3,32,covariance,0.6808905380333952,0.6718802135468802,0.7243589743589743
20News,6,3,50,second_moment,0.738404452690167,0.7341925258591925,0.7653910149750416
20News,6,3,50,covariance,0.7439703153988868,0.7377863975086197,0.7745098039215687
20News,6,3,64,second_moment,0.7495361781076066,0.7480119007896786,0.7700170357751278
20News,6,3,64,covariance,0.7773654916512059,0.7704023467912358,0.8058252427184466
20News,6,3,128,second_moment,0.7532467532467533,0.7488113113113113,0.7794361525704809
20News,6,3,128,covariance,0.738404452690167,0.7338241018796574,0.7661691542288557
20News,6,4,8,second_moment,0.6363636363636364,0.6290760869565217,0.6797385620915033
20News,6,4,8,covariance,0.6660482374768089,0.6562430323299888,0.7124600638977636
20News,6,4,16,second_moment,0.7068645640074211,0.6996098104793758,0.7435064935064936
20News,6,4,16,covariance,0.6808905380333952,0.6708542363433668,0.7261146496815286
20News,6,4,32,second_moment,0.7179962894248608,0.7104654403567447,0.7540453074433657
20News,6,4,32,covariance,0.7235621521335807,0.7167154403567447,0.7577235772357723
20News,6,4,50,second_moment,0.75139146567718,0.7454988851727982,0.7810457516339869
20News,6,4,50,covariance,0.7532467532467533,0.7488154960981048,0.7801652892561983
20News,6,4,64,second_moment,0.7662337662337663,0.7609322742474917,0.7934426229508197
20News,6,4,64,covariance,0.7551020408163265,0.7492544593088071,0.7843137254901961
20News,6,4,128,second_moment,0.7922077922077922,0.7884545707915274,0.8145695364238411
20News,6,4,128,covariance,0.7866419294990723,0.7830267558528428,0.8092868988391376
