dataset,seed,arm,k,p,budget,mean_weight,amplification,balanced,f1
EColi,0,spectral,8,0.01,inf,2.375,1.032531089911699,0.6651778656126481,0.46153846153846156
EColi,0,spectral,8,0.05,1000.0,2.375,1.182176697209496,0.6651778656126481,0.46153846153846156
EColi,0,spectral,8,0.05,10000.0,2.375,1.182176697209496,0.6651778656126481,0.46153846153846156
EColi,0,spectral,8,0.05,inf,2.375,1.182176697209496,0.6651778656126481,0.46153846153846156
EColi,0,spectral,8,0.1,1000.0,2.375,1.4258341794755085,0.6651778656126481,0.46153846153846156
EColi,0,spectral,8,0.1,10000.0,2.375,1.4258341794755085,0.6651778656126481,0.46153846153846156
EColi,0,spectral,8,0.1,inf,2.375,1.4258341794755085,0.6651778656126481,0.46153846153846156
EColi,0,spectral,8,0.2,1000.0,2.375,2.236151902192473,0.6651778656126481,0.46153846153846156
EColi,0,spectral,8,0.2,10000.0,2.375,2.236151902192473,0.6651778656126481,0.46153846153846156
EColi,0,spectral,8,0.2,inf,2.375,2.236151902192473,0.6651778656126481,0.46153846153846156
EColi,0,spectral,16,0.0,1000.0,2.5,1.0,0.8049275362318841,0.6712328767123288
EColi,0,spectral,16,0.0,10000.0,2.5,1.0,0.8049275362318841,0.6712328767123288
EColi,0,spectral,16,0.0,inf,2.5,1.0,0.8049275362318841,0.6712328767123288
EColi,0,spectral,16,0.01,1000.0,2.5,1.034254827893655,0.8049275362318841,0.6712328767123288
EColi,0,spectral,16,0.01,10000.0,2.5,1.034254827893655,0.8049275362318841,0.6712328767123288
EColi,0,spectral,16,0.01,inf,2.5,1.034254827893655,0.8049275362318841,0.6712328767123288
EColi,0,spectral,16,0.05,1000.0,2.5,1.1921074552269886,0.8069038208168643,0.6805555555555556
EColi,0,spectral,16,0.05,10000.0,2.5,1.1921074552269886,0.8049275362318841,0.6712328767123288
EColi,0,spectral,16,0.05,inf,2.5,1.1921074552269886,0.8049275362318841,0.6712328767123288
EColi,0,spectral,16,0.1,1000.0,2.5,1.4499579846644024,0.8049275362318841,0.6712328767123288
EColi,0,spectral,16,0.1,10000.0,2.5,1.4499579846644024,0.8049275362318841,0.6712328767123288
EColi,0,spectral,16,0.1,inf,2.5,1.4499579846644024,0.8049275362318841,0.6712328767123288
EColi,0,spectral,16,0.2,1000.0,2.5,2.312410354483983,0.7982608695652174,0.6620689655172414
EColi,0,spectral,16,0.2,10000.0,2.5,2.312410354483983,0.8049275362318841,0.6712328767123288
EColi,0,spectral,16,0.2,inf,2.5,2.312410354483983,0.8049275362318841,0.6712328767123288
EColi,0,spectral,32,0.0,1000.0,2.75,1.0,0.863201581027668,0.7651006711409396
EColi,0,spectral,32,0.0,10000.0,2.75,1.0,0.863201581027668,0.7651006711409396
EColi,0,spectral,32,0.0,inf,2.75,1.0,0.863201581027668,0.7651006711409396
EColi,0,spectral,32,0.01,1000.0,2.75,1.0377196584981894,0.863201581027668,0.7651006711409396
EColi,0,spectral,32,0.01,10000.0,2.75,1.0377196584981894,0.863201581027668,0.7651006711409396
EColi,0,spectral,32,0.01,inf,2.75,1.0377196584981894,0.863201581027668,0.7651006711409396
