dataset,seed,k,p,C,mean_weight,coef_norm,balanced,f1
EColi,2,4,0.1,1.0,1.75,2.1260029511498937,0.6346299810246679,0.39705882352941174
EColi,2,4,0.2,0.01,1.75,0.8284793111092829,0.5,0.0
EColi,2,4,0.2,0.1,1.75,1.6560258904412044,0.5,0.0
EColi,2,4,0.2,1.0,1.75,2.469358657504904,0.6346299810246679,0.39705882352941174
EColi,2,4,0.3,0.01,1.75,0.8235132055440975,0.5,0.0
EColi,2,4,0.3,0.1,1.75,1.6255274564826487,0.5,0.0
EColi,2,4,0.3,1.0,1.75,2.7654201708633894,0.5670659392789373,0.24793388429752067
EColi,2,8,0.0,0.01,2.5,0.8915135228964767,0.5,0.0
EColi,2,8,0.0,0.1,2.5,1.8199310411278111,0.6468927893738141,0.4444444444444444
EColi,2,8,0.0,1.0,2.5,2.5717300895911053,0.7389943074003795,0.6222222222222222
EColi,2,8,0.05,0.01,2.5,0.8806434077103125,0.5,0.0
EColi,2,8,0.05,0.1,2.5,1.8994513945799714,0.5910934535104364,0.3076923076923077
EColi,2,8,0.05,1.0,2.5,2.981266523800909,0.7331119544592031,0.6119402985074627
EColi,2,8,0.1,0.01,2.5,0.8698037161480532,0.5,0.0
EColi,2,8,0.1,0.1,2.5,1.9444627786682611,0.5626897533206832,0.22448979591836735
EColi,2,8,0.1,1.0,2.5,3.293104842863594,0.7272296015180266,0.6015037593984962
EColi,2,8,0.2,0.01,2.5,0.8439599579392756,0.5,0.0
EColi,2,8,0.2,0.1,2.5,1.9031247276088723,0.5166389943074003,0.06741573033707865
EColi,2,8,0.2,1.0,2.5,4.087135912125886,0.7047082542694497,0.5625
EColi,2,8,0.3,0.01,2.5,0.8296102491979935,0.5,0.0
EColi,2,8,0.3,0.1,2.5,1.774588327884967,0.5,0.0
EColi,2,8,0.3,1.0,2.5,4.713599274454689,0.6253795066413662,0.3963963963963964
EColi,2,16,0.0,0.01,2.5625,0.9268894573636579,0.5,0.0
EColi,2,16,0.0,0.1,2.5625,1.9326386573769705,0.7576494307400379,0.656934306569343
EColi,2,16,0.0,1.0,2.5625,3.21455912233359,0.7978178368121442,0.7172413793103448
EColi,2,16,0.05,0.01,2.5625,0.9252660592399583,0.5,0.0
EColi,2,16,0.05,0.1,2.5625,2.002746539842701,0.7517670777988614,0.6470588235294118
EColi,2,16,0.05,1.0,2.5625,3.3953346126314456,0.7919354838709678,0.7083333333333334
EColi,2,16,0.1,0.01,2.5625,0.9063192546086959,0.5,0.0
EColi,2,16,0.1,0.1,2.5625,2.0929704671929286,0.6939516129032258,0.544
EColi,2,16,0.1,1.0,2.5625,3.731548735454934,0.7919354838709678,0.7083333333333334
EColi,2,16,0.2,0.01,2.5625,0.8742982064016703,0.5,0.0
EColi,2,16,0.2,0.1,2.5625,2.147433510268992,0.6302537950664137,0.40707964601769914
EColi,2,16,0.2,1.0,2.5625,4.4308956011217875,0.7870611954459203,0.704225352112676
EColi,2,16,0.3,0.01,2.5625,0.8494250240588922,0.5,0.0
EColi,2,16,0.3,0.1,2.5625,2.0888112439808952,0.5509250474383302,0.1875
EColi,2,16,0.3,1.0,2.5625,5.082885004180349,0.7870611954459203,0.704225352112676
EColi,2,32,0.0,0.01,2.59375,0.9500986649494091,0.5557993358633776,0.20408163265306123
EColi,2,32,0.0,0.1,2.59375,2.038621873820583,0.7860531309297913,0.6993006993006993
EColi,2,32,0.0,1.0,2.59375,4.389203260811009,0.7810128083491461,0.6756756756756757
EColi,2,32,0.05,0.01,2.59375,0.9487111405494169,0.5391603415559773,0.14893617021276595
EColi,2,32,0.05,0.1,2.59375,2.0862559320648195,0.7880692599620494,0.7092198581560284
