dataset,seed,k,p,C,mean_weight,coef_norm,balanced,f1
EColi,2,32,0.05,1.0,2.59375,4.450232669442574,0.7810128083491461,0.6756756756756757
EColi,2,32,0.1,0.01,2.59375,0.9388529697611406,0.5,0.0
EColi,2,32,0.1,0.1,2.59375,2.151932431472784,0.7763045540796965,0.6906474820143885
EColi,2,32,0.1,1.0,2.59375,4.70765588449866,0.7810128083491461,0.6756756756756757
EColi,2,32,0.2,0.01,2.59375,0.89953715962218,0.5,0.0
EColi,2,32,0.2,0.1,2.59375,2.215924075748259,0.659665559772296,0.4745762711864407
EColi,2,32,0.2,1.0,2.59375,5.028129286951113,0.7860531309297913,0.6993006993006993
EColi,2,32,0.3,0.01,2.59375,0.8625122207266775,0.5,0.0
EColi,2,32,0.3,0.1,2.59375,2.1936772482373357,0.5969758064516129,0.3238095238095238
EColi,2,32,0.3,1.0,2.59375,5.491085323273796,0.7870611954459203,0.704225352112676
EColi,2,64,0.0,0.01,2.84375,0.9842054006989551,0.5675640417457305,0.24
EColi,2,64,0.0,0.1,2.84375,2.1391726070404933,0.8105906072106261,0.7397260273972602
EColi,2,64,0.0,1.0,2.84375,4.776998096686494,0.8026921252371917,0.7210884353741497
EColi,2,64,0.05,0.01,2.84375,0.9813981411147974,0.5215132827324478,0.08791208791208792
EColi,2,64,0.05,0.1,2.84375,2.209727854692927,0.8047082542694497,0.7310344827586207
EColi,2,64,0.05,1.0,2.84375,4.9358212682445615,0.8026921252371917,0.7210884353741497
EColi,2,64,0.1,0.01,2.84375,0.9740367707529098,0.5,0.0
EColi,2,64,0.1,0.1,2.84375,2.241985043721343,0.7988259013282732,0.7222222222222222
EColi,2,64,0.1,1.0,2.84375,5.039518689595865,0.8026921252371917,0.7210884353741497
EColi,2,64,0.2,0.01,2.84375,0.9369979934493786,0.5,0.0
EColi,2,64,0.2,0.1,2.84375,2.3387307038088108,0.7752964895635673,0.6857142857142857
EColi,2,64,0.2,1.0,2.84375,5.340531075358047,0.8164729601518026,0.7482993197278912
EColi,2,64,0.3,0.01,2.84375,0.8969333619796666,0.5,0.0
EColi,2,64,0.3,0.1,2.84375,2.3521064928123985,0.758657495256167,0.6617647058823529
EColi,2,64,0.3,1.0,2.84375,5.5211159298916765,0.8164729601518026,0.7482993197278912
EColi,2,128,0.0,0.01,2.921875,1.010786243640366,0.7420185009487665,0.6363636363636364
EColi,2,128,0.0,0.1,2.921875,2.1980444106123933,0.8095825426944971,0.7346938775510204
EColi,2,128,0.0,1.0,2.921875,5.049950030180603,0.7880692599620494,0.7092198581560284
EColi,2,128,0.05,0.01,2.921875,1.01697728861655,0.659665559772296,0.4745762711864407
EColi,2,128,0.05,0.1,2.921875,2.286583309904505,0.8095825426944971,0.7346938775510204
EColi,2,128,0.05,1.0,2.921875,5.234061567568395,0.7880692599620494,0.7092198581560284
EColi,2,128,0.1,0.01,2.921875,1.0135722889071634,0.5322699240986717,0.1276595744680851
EColi,2,128,0.1,0.1,2.921875,2.3418742494174163,0.8095825426944971,0.7346938775510204
EColi,2,128,0.1,1.0,2.921875,5.220294302843243,0.7821869070208729,0.7
EColi,2,128,0.2,0.01,2.921875,0.9756349519975254,0.5,0.0
EColi,2,128,0.2,0.1,2.921875,2.452586834611778,0.8037001897533207,0.726027397260274
EColi,2,128,0.2,1.0,2.921875,5.596051057859807,0.8144568311195446,0.738255033557047
EColi,2,128,0.3,0.01,2.921875,0.916365171465699,0.5,0.0
EColi,2,128,0.3,0.1,2.921875,2.4897726102261437,0.7978178368121442,0.7172413793103448
EColi,2,128,0.3,1.0,2.921875,5.952264817690664,0.8095825426944971,0.7346938775510204
20News,0,4,0.0,0.01,3.0,0.5461969773926326,0.5795842665173573,0.7419768934531451
20News,0,4,0.0,0.1,3.0,1.9171711034654293,0.6641797312430011,0.7420814479638009
20News,0,4,0.0,1.0,3.0,3.101951663854133,0.6671682530795073,0.7275590551181103
20News,0,4,0.05,0.01,3.0,0.5014416346402542,0.5703037513997761,0.743073047858942
20News,0,4,0.05,0.1,3.0,2.001881291751432,0.6596374580067189,0.744807121661721
20News,0,4,0.05,1.0,3.0,3.578449167993434,0.6702617581187009,0.726984126984127
20News,0,4,0.1,0.01,3.0,0.42443447960412556,0.5286254199328108,0.7312348668280871
20News,0,4,0.1,0.1,3.0,2.0190958775529175,0.665929451287794,0.7569141193595342
20News,0,4,0.1,1.0,3.0,4.239076631235076,0.6732642777155655,0.7363494539781591
20News,0,4,0.2,0.01,3.0,0.2778250185477893,0.5,0.7212336892052195
20News,0,4,0.2,0.1,3.0,1.7699819250560034,0.6293812989921612,0.7517146776406035
20News,0,4,0.2,1.0,3.0,5.711318474051463,0.6816839305711087,0.7503828483920367
20News,0,4,0.3,0.01,3.0,0.21133966384957414,0.5,0.7212336892052195
20News,0,4,0.3,0.1,3.0,1.5412736996182907,0.5923502239641658,0.7477360931435963
20News,0,4,0.3,1.0,3.0,5.821986368719103,0.6641797312430011,0.7420814479638009
20News,0,8,0.0,0.01,2.875,0.6588102517077277,0.6515327547592384,0.7688098495212038
20News,0,8,0.0,0.1,2.875,2.1899517570757308,0.7205697088465846,0.7835365853658537
20News,0,8,0.0,1.0,2.875,3.2745950016977385,0.7260778275475923,0.7800312012480499
20News,0,8,0.05,0.01,2.875,0.5880403535268045,0.6088885778275476,0.7561929595827901
20News,0,8,0.05,0.1,2.875,2.3187686861847236,0.7134168533034715,0.7850746268656716
20News,0,8,0.05,1.0,2.875,3.999442969559873,0.7223054311310191,0.7769110764430577
20News,0,8,0.1,0.01,2.875,0.5203495678484279,0.5525125979843225,0.7404674046740467
20News,0,8,0.1,0.1,2.875,2.3512670677588225,0.7108062709966405,0.7845468053491828
20News,0,8,0.1,1.0,2.875,4.65463468383238,0.7251119820828668,0.7813953488372093
20News,0,8,0.2,0.01,2.875,0.3561239134622718,0.5,0.7212336892052195
20News,0,8,0.2,0.1,2.875,2.174043314781944,0.676189809630459,0.7751060820367751
20News,0,8,0.2,1.0,2.875,6.378358646908487,0.7264697648376259,0.7877862595419848
20News,0,8,0.3,0.01,2.875,0.23852802512199178,0.5,0.7212336892052195
20News,0,8,0.3,0.1,2.875,1.7745346814448686,0.6110162374020157,0.7571801566579635
20News,0,8,0.3,1.0,2.875,6.75079830850777,0.6907824748040314,0.7671641791044777
20News,0,16,0.0,0.01,3.0,0.7185454400519428,0.6420562709966405,0.7658998646820027
20News,0,16,0.0,0.1,3.0,2.4372032184118386,0.7318868980963046,0.7926829268292683
20News,0,16,0.0,1.0,3.0,4.673151107740059,0.7465845464725644,0.7975077881619937
20News,0,16,0.05,0.01,3.0,0.6387638519230886,0.6143057110862262,0.7604166666666666
20News,0,16,0.05,0.1,3.0,2.548382657482321,0.7256998880179171,0.7927927927927928
20News,0,16,0.05,1.0,3.0,5.190236149907573,0.742812150055991,0.794392523364486
20News,0,16,0.1,0.01,3.0,0.5747106123861709,0.5801721724524076,0.7525
20News,0,16,0.1,0.1,3.0,2.553455579534767,0.7195128779395297,0.7928994082840237
20News,0,16,0.1,1.0,3.0,5.971433570163028,0.7552911534154535,0.8062015503875969
20News,0,16,0.2,0.01,3.0,0.3819541090035306,0.502127659574468,0.7220902612826603
20News,0,16,0.2,0.1,3.0,2.3352341986988527,0.6596514557670773,0.7657784011220197
