String,Order,Type,Importance
YYYZIX,5,XYYYZ,0.0
YYYZII,4,YYYZ,0.0
IZZXYI,4,XYZZ,0.0
IZZXXY,5,XXYZZ,0.0
IZZXIY,4,XYZZ,0.0
YYZIZY,5,YYYZZ,0.0
YYZIYZ,5,YYYZZ,0.0
YYZIYX,5,XYYYZ,0.0
YYZIYI,4,YYYZ,0.0
YYZIXY,5,XYYYZ,0.0
YYZIIY,4,YYYZ,0.0
IZZYZZ,5,YZZZZ,0.0
IZZYZX,5,XYZZZ,0.0
IZZYZI,4,YZZZ,0.0
IZZYYY,5,YYYZZ,0.0
IZZYXZ,5,XYZZZ,0.0
IZZIXY,4,XYZZ,0.0
IZZIIY,3,YZZ,0.0
YYZXZY,6,XYYYZZ,0.0
YYZXYZ,6,XYYYZZ,0.0
YYZXYX,6,XXYYYZ,0.0
YYZXYI,5,XYYYZ,0.0
YYZXXY,6,XXYYYZ,0.0
YYZXIY,5,XYYYZ,0.0
IZZXZY,5,XYZZZ,0.0
IZZXYZ,5,XYZZZ,0.0
IZZXYX,5,XXYZZ,0.0
YYZYZZ,6,YYYZZZ,0.0
YYZYZX,6,XYYYZZ,0.0
YYZYZI,5,YYYZZ,0.0
YYZYYY,6,YYYYYZ,0.0
YYZYXZ,6,XYYYZZ,0.0
YYZYXX,6,XXYYYZ,0.0
YYZYXI,5,XYYYZ,0.0
YYZYIZ,5,YYYZZ,0.0
YYZYIX,5,XYYYZ,0.0
YYZYII,4,YYYZ,0.0
IZZIZY,4,YZZZ,0.0
IZZIYZ,4,YZZZ,0.0
IZZIYX,4,XYZZ,0.0
IZZIYI,3,YZZ,0.0
IZYZZI,4,YZZZ,0.0
IZYZYY,5,YYYZZ,0.0
IZYZXZ,5,XYZZZ,0.0
IZYZXX,5,XXYZZ,0.0
IZYZXI,4,XYZZ,0.0
IZYZIZ,4,YZZZ,0.0
IZYZIX,4,XYZZ,0.0
IZYZII,3,YZZ,0.0
YYZZZY,6,YYYZZZ,0.0
YYZZYZ,6,YYYZZZ,0.0
YYZZYX,6,XYYYZZ,0.0
YYZZYI,5,YYYZZ,0.0
YYZZXY,6,XYYYZZ,0.0
YYZZIY,5,YYYZZ,0.0
IZYYYI,4,YYYZ,0.0
IZYYXY,5,XYYYZ,0.0
IZYYIY,4,YYYZ,0.0
YZIIZZ,4,YZZZ,0.0
YZIIZX,4,XYZZ,0.0
YZIIZI,3,YZZ,0.0
YZIIYY,4,YYYZ,0.0
YZIIXZ,4,XYZZ,0.0
YZIIXX,4,XXYZ,0.0
YZIIXI,3,XYZ,0.0
YZIIIZ,3,YZZ,0.0
YZIIIX,3,XYZ,0.0
YZIIII,2,YZ,0.0
IZYZZZ,5,YZZZZ,0.0
IZYZZX,5,XYZZZ,0.0
IZYXIZ,4,XYZZ,0.0
IZYXIX,4,XXYZ,0.0
IZYXII,3,XYZ,0.0
YZIXZZ,5,XYZZZ,0.0
YZIXZX,5,XXYZZ,0.0
YZIXZI,4,XYZZ,0.0
YZIXYY,5,XYYYZ,0.0
YZIXXZ,5,XXYZZ,0.0
YZIXXX,5,XXXYZ,0.0
YZIXXI,4,XXYZ,0.0
YZIXIZ,4,XYZZ,0.0
YZIXIX,4,XXYZ,0.0
YZIXII,3,XYZ,0.0
IZYYZY,5,YYYZZ,0.0
IZYYYZ,5,YYYZZ,0.0
IZYYYX,5,XYYYZ,0.0
YZIYZY,5,YYYZZ,0.0
YZIYYZ,5,YYYZZ,0.0
YZIYYX,5,XYYYZ,0.0
YZIYYI,4,YYYZ,0.0
YZIYXY,5,XYYYZ,0.0
YZIYIY,4,YYYZ,0.0
IZYXZZ,5,XYZZZ,0.0
IZYXZX,5,XXYZZ,0.0
IZYXZI,4,XYZZ,0.0
IZYXYY,5,XYYYZ,0.0
IZYXXZ,5,XXYZZ,0.0
IZYXXX,5,XXXYZ,0.0
IZYXXI,4,XXYZ,0.0
YZXIXX,5,XXXYZ,0.0
YZXIXI,4,XXYZ,0.0
YZXIIZ,4,XYZZ,0.0
YZXIIX,4,XXYZ,0.0
YZXIII,3,XYZ,0.0
YZIZZZ,5,YZZZZ,0.0
YZIZZX,5,XYZZZ,0.0
YZIZZI,4,YZZZ,0.0
YZIZYY,5,YYYZZ,0.0
YZIZXZ,5,XYZZZ,0.0
YZIZXX,5,XXYZZ,0.0
YZIZXI,4,XYZZ,0.0
YZIZIZ,4,YZZZ,0.0
YZIZIX,4,XYZZ,0.0
YZIZII,3,YZZ,0.0
IZYIZX,4,XYZZ,0.0
IZYIZI,3,YZZ,0.0
IZYIYY,4,YYYZ,0.0
IZYIXZ,4,XYZZ,0.0
IZYIXX,4,XXYZ,0.0
IZYIXI,3,XYZ,0.0
IZYIIZ,3,YZZ,0.0
IZYIIX,3,XYZ,0.0
IZYIII,2,YZ,0.0
YZXIZZ,5,XYZZZ,0.0
YZXIZX,5,XXYZZ,0.0
YZXIZI,4,XYZZ,0.0
YZXIYY,5,XYYYZ,0.0
YZXIXZ,5,XXYZZ,0.0
IZXZYI,4,XYZZ,0.0
IZXZXY,5,XXYZZ,0.0
IZXZIY,4,XYZZ,0.0
YZXXZZ,6,XXYZZZ,0.0
YZXXZX,6,XXXYZZ,0.0
YZXXZI,5,XXYZZ,0.0
YZXXYY,6,XXYYYZ,0.0
YZXXXZ,6,XXXYZZ,0.0
YZXXXX,6,XXXXYZ,0.0
YZXXXI,5,XXXYZ,0.0
YZXXIZ,5,XXYZZ,0.0
YZXXIX,5,XXXYZ,0.0
YZXXII,4,XXYZ,0.0
IZYIZZ,4,YZZZ,0.0
IZXYYY,5,XYYYZ,0.0
IZXYXZ,5,XXYZZ,0.0
IZXYXX,5,XXXYZ,0.0
IZXYXI,4,XXYZ,0.0
IZXYIZ,4,XYZZ,0.0
IZXYIX,4,XXYZ,0.0
IZXYII,3,XYZ,0.0
YZXYZY,6,XYYYZZ,0.0
YZXYYZ,6,XYYYZZ,0.0
YZXYYX,6,XXYYYZ,0.0
YZXYYI,5,XYYYZ,0.0
YZXYXY,6,XXYYYZ,0.0
YZXYIY,5,XYYYZ,0.0
IZXZZY,5,XYZZZ,0.0
IZXZYZ,5,XYZZZ,0.0
IZXZYX,5,XXYZZ,0.0
IZXXIY,4,XXYZ,0.0
ZZZZXY,6,XYZZZZ,0.0
YZXZZZ,6,XYZZZZ,0.0
YZXZZX,6,XXYZZZ,0.0
YZXZZI,5,XYZZZ,0.0
YZXZYY,6,XYYYZZ,0.0
YZXZXZ,6,XXYZZZ,0.0
