String,Order,Type,Importance
IYYIZZ,4,YYZZ,0.0741024401153741
ZZIIIX,3,XZZ,0.07405230680048516
ZXYZYX,6,XXYYZZ,0.07403384667463006
IIXZZZ,4,XZZZ,0.07402412644143305
IIZYYI,3,YYZ,0.07401480911605732
IZXIII,2,XZ,0.07400521441734852
ZXYIIY,4,XYYZ,0.07398092290716309
IXZIIZ,3,XZZ,0.07391139354961655
ZZZYYZ,6,YYZZZZ,0.07389814491490825
ZZIIIZ,3,ZZZ,0.07387496293796667
XIIZIZ,3,XZZ,0.07387090276723676
ZXZXXI,5,XXXZZ,0.07386635300467087
ZIYZYX,5,XYYZZ,0.07385708847469812
IZXZZI,4,XZZZ,0.07376019663098966
YIYXYY,5,XYYYY,0.07373079968127601
ZIZIIX,3,XZZ,0.07363589740800294
ZZIXZI,4,XZZZ,0.07356544806471989
YXIIXY,4,XXYY,0.07354374438027758
ZYXYZI,5,XYYZZ,0.07341903945375466
YYYZZY,6,YYYYZZ,0.07339856761705345
YXZYIZ,5,XYYZZ,0.07339265216535358
ZXZIIX,4,XXZZ,0.07327774638711416
ZZZXII,4,XZZZ,0.0732547686032226
XXXZII,4,XXXZ,0.07325392398901741
XZIYZY,5,XYYZZ,0.07324675749130424
IIIYIY,2,YY,0.07322420683915667
YIYIYY,4,YYYY,0.07322371263606114
IZZXZZ,5,XZZZZ,0.07320997778685111
ZZYIYZ,5,YYZZZ,0.07319367656730805
ZZXYYZ,6,XYYZZZ,0.07315971924778002
ZIZXIX,4,XXZZ,0.07315700893471105
ZXZXII,4,XXZZ,0.07310450379809788
IXIIZX,3,XXZ,0.07310038154181542
ZIYIIY,3,YYZ,0.07309353170970098
XYYYXY,6,XXYYYY,0.07302289658553258
YIZYXZ,5,XYYZZ,0.07302070646619573
IZXIIZ,3,XZZ,0.0730074586084414
YXYZYY,6,XYYYYZ,0.07297133173039574
XXIZXZ,5,XXXZZ,0.07296976776891262
IYXXIY,4,XXYY,0.07285833252981957
XXZYXY,6,XXXYYZ,0.07285258813115685
YXYZZZ,6,XYYZZZ,0.07278213255776779
ZXYYXX,6,XXXYYZ,0.07276365695192517
IYIXIY,3,XYY,0.07274221789092306
YXIXYX,5,XXXYY,0.0727273488489305
IYIIZY,3,YYZ,0.07268382711296881
YZIYZZ,5,YYZZZ,0.07267401756340627
YYIXII,3,XYY,0.07264817969241805
IIIXXZ,3,XXZ,0.07263664708251055
XYIXZY,5,XXYYZ,0.07260973468089559
IZXZII,3,XZZ,0.07260928812084802
XXIZII,3,XXZ,0.0725923096347997
XIXIIX,3,XXX,0.07255995326043929
IIZXYY,4,XYYZ,0.07254363970289142
XXIZIZ,4,XXZZ,0.07251575966859716
IYIZIY,3,YYZ,0.07246242889962051
XIIYIY,3,XYY,0.07213520751950887
YIZXIY,4,XYYZ,0.07210294964848533
IZYYII,3,YYZ,0.07209255246275968
IXXZXZ,5,XXXZZ,0.07208718355315731
XIYYZZ,5,XYYZZ,0.0720510417610707
ZXZIXX,5,XXXZZ,0.07198211695085284
ZXZYXY,6,XXYYZZ,0.07194414221271128
XXIXZX,5,XXXXZ,0.0719347309718291
IIIXII,1,X,0.07187212561627264
IXIXXI,3,XXX,0.0718503426856746
ZZXZZZ,6,XZZZZZ,0.07184128102628524
IYYXII,3,XYY,0.07179945591384124
IXZYIY,4,XYYZ,0.07175549381343257
IYXIYZ,4,XYYZ,0.07174099657832993
YZXYXX,6,XXXYYZ,0.07173376226197624
ZIIIXZ,3,XZZ,0.07173276262902366
IXYYYY,5,XYYYY,0.07171602923179274
IZZYZY,5,YYZZZ,0.07171121496679873
YXYYYX,6,XXYYYY,0.07169738267443897
YXIYYY,5,XYYYY,0.07169729472542162
ZZZYYX,6,XYYZZZ,0.07165194897807436
ZZIIZX,4,XZZZ,0.07148624537638948
IIZIZZ,3,ZZZ,0.0714796621029972
YYYYYY,6,YYYYYY,0.07145163705285473
YIZYIX,4,XYYZ,0.07142896456645484
IIZXXI,3,XXZ,0.07134310416835574
IXIXZX,4,XXXZ,0.07132613234184206
XZZZZI,5,XZZZZ,0.07126800635235941
YIZXYZ,5,XYYZZ,0.07124080888103942
IIZXIZ,3,XZZ,0.07120496105305635
YIYIIX,3,XYY,0.07117283073139337
XYXZZY,6,XXYYZZ,0.07116838871344236
XXXIIX,4,XXXX,0.0711164394118714
IZZYIY,4,YYZZ,0.07108361843333141
XIYYXI,4,XXYY,0.07106784477767049
XIIXIX,3,XXX,0.07106389491459561
ZXZZYY,6,XYYZZZ,0.07106169945261269
YYZZII,4,YYZZ,0.07106151354061707
IXXZIX,4,XXXZ,0.07093560775697257
ZZZIZZ,5,ZZZZZ,0.07093033400165769
ZYYZIZ,5,YYZZZ,0.07092520672851374
IYXYZX,5,XXYYZ,0.07092142391748622
ZYXYXZ,6,XXYYZZ,0.07091294147267366
ZIIXZX,4,XXZZ,0.07088050059959572
YIZYZZ,5,YYZZZ,0.07084776348274238
YYXZII,4,XYYZ,0.07083639710146408
IIYYIX,3,XYY,0.07080136029278795
YZYIZZ,5,YYZZZ,0.0707659108657164
YXYZXX,6,XXXYYZ,0.07073905608030649
ZYYIXI,4,XYYZ,0.0706467180435671
ZZZIIZ,4,ZZZZ,0.07061753866869044
YIIXXY,4,XXYY,0.07060913550256794
ZZXIZZ,5,XZZZZ,0.07056393825070997
ZIIYXY,4,XYYZ,0.0705111521625725
IIZYIY,3,YYZ,0.07050953286295154
ZXYXYZ,6,XXYYZZ,0.07042155818784496
IIIXXI,2,XX,0.07039448244929035
IYIIYZ,3,YYZ,0.07036535211739163
YZIYZI,4,YYZZ,0.07033236071340399
IXZZII,3,XZZ,0.07032037781402928
ZZYIIY,4,YYZZ,0.07031111755014814
IZXXYY,5,XXYYZ,0.07029407205338732
YIYZZI,4,YYZZ,0.07027828065449887
ZZZYIY,5,YYZZZ,0.07026723093146461
YZIYII,3,YYZ,0.07025642702340912
IZYYIZ,4,YYZZ,0.07023784702916022
ZXZZZX,6,XXZZZZ,0.07021727909259301
ZYXYXX,6,XXXYYZ,0.07016952290371907
XZXIII,3,XXZ,0.07013856695584442
XZZIXX,5,XXXZZ,0.07013115379236831
IYYZXX,5,XXYYZ,0.07010282187611752
IXXIZZ,4,XXZZ,0.07010208589973857
YIYZXX,5,XXYYZ,0.07008418619487848
IYZYII,3,YYZ,0.07006919295338629
ZIXZIX,4,XXZZ,0.07005556624139564
IIXXIX,3,XXX,0.07005453581936472
IZXYIY,4,XYYZ,0.06998975093065982
XIIYXY,4,XXYY,0.06998794960859728
IIYXZY,4,XYYZ,0.06996495434182667
XZYYII,4,XYYZ,0.06995898199808247
IXIZIZ,3,XZZ,0.06989157928399095
YIIXYI,3,XYY,0.06985093625582951
YIXXIY,4,XXYY,0.06984504025625199
YYYXZY,6,XYYYYZ,0.06982588017517258
ZXXIZI,4,XXZZ,0.06981932313748444
