dataset,n_qubits,seed,k,arm,budget,shots_per_obs,dead_in_basis,wasted_shots,mean_abs_est_error,accuracy,balanced,f1
EColi,4,1,32,random_live,inf,inf,0,0,0.0,0.9018932874354562,0.7444854923956423,0.5777777777777777
EColi,4,1,32,random_all,1000.0,31.0,16,496,0.12049367185906584,0.9087779690189329,0.7542875633696473,0.6015037593984962
EColi,4,1,32,random_all,10000.0,312.0,16,4992,0.03377359989892953,0.9104991394148021,0.7552718153381512,0.6060606060606061
EColi,4,1,32,random_all,100000.0,3125.0,16,50000,0.015785249386292964,0.9087779690189329,0.7542875633696473,0.6015037593984962
EColi,4,1,32,random_all,inf,inf,16,0,0.0,0.9087779690189329,0.7542875633696473,0.6015037593984962
EColi,4,1,64,spectral,1000.0,15.0,0,0,0.20488411887052285,0.9173838209982789,0.788534138712113,0.6521739130434783
EColi,4,1,64,spectral,10000.0,156.0,0,0,0.05344709524475802,0.9173838209982789,0.788534138712113,0.6521739130434783
EColi,4,1,64,spectral,100000.0,1562.0,0,0,0.01715112309243058,0.9173838209982789,0.788534138712113,0.6521739130434783
EColi,4,1,64,spectral,inf,inf,0,0,0.0,0.9173838209982789,0.788534138712113,0.6521739130434783
EColi,4,1,64,random_live,1000.0,15.0,0,0,0.22617607580776833,0.9018932874354562,0.7796758709955776,0.6122448979591837
EColi,4,1,64,random_live,10000.0,156.0,0,0,0.06259464393914763,0.8984509466437177,0.7718423039585804,0.5986394557823129
EColi,4,1,64,random_live,100000.0,1562.0,0,0,0.01960853818177587,0.9018932874354562,0.7796758709955776,0.6122448979591837
EColi,4,1,64,random_live,inf,inf,0,0,0.0,0.9018932874354562,0.7796758709955776,0.6122448979591837
EColi,4,1,64,random_all,1000.0,15.0,31,465,0.1816382988153665,0.9225473321858864,0.8032170208176033,0.6762589928057554
EColi,4,1,64,random_all,10000.0,156.0,31,4836,0.07215345950889358,0.9225473321858864,0.8032170208176033,0.6762589928057554
EColi,4,1,64,random_all,100000.0,1562.0,31,48422,0.01912557494634448,0.9225473321858864,0.8032170208176033,0.6762589928057554
EColi,4,1,64,random_all,inf,inf,31,0,0.0,0.9225473321858864,0.8032170208176033,0.6762589928057554
EColi,4,2,16,spectral,1000.0,62.0,0,0,0.08881788108117444,0.919104991394148,0.8015180265654649,0.6967741935483871
