train_f1,test_f1,train_bal,test_bal,dataset,n_qubits,seed,arm,k,n_live,n_train,k_over_n,gap_f1,gap_bal
0.2636363636363636,0.24,0.5758707173954193,0.5675640417457305,EColi,4,2,random_live,4,136,1354,0.0029542097488921715,0.023636363636363622,0.008306675649688788
0.27555555555555555,0.26666666666666666,0.5801485898163922,0.5763045540796964,EColi,4,2,random_live,6,136,1354,0.004431314623338257,0.00888888888888889,0.0038440357366957834
0.30434782608695654,0.3333333333333333,0.5908338065493092,0.6008420303605313,EColi,4,2,random_live,8,136,1354,0.005908419497784343,-0.028985507246376774,-0.010008223811222128
0.31932773109243695,0.3898305084745763,0.5970376679916714,0.6252134724857685,EColi,4,2,random_live,12,136,1354,0.008862629246676515,-0.07050277738213934,-0.02817580449409718
0.4163265306122449,0.49586776859504134,0.6357041453719477,0.6704222011385199,EColi,4,2,random_live,16,136,1354,0.011816838995568686,-0.07954123798279644,-0.034718055766572165
0.5915492957746479,0.5801526717557252,0.7248154457694491,0.7154648956356736,EColi,4,2,random_live,24,136,1354,0.01772525849335303,0.011396624018922719,0.009350550133775504
0.629757785467128,0.5777777777777777,0.7451116789702821,0.7183230550284629,EColi,4,2,random_live,32,136,1354,0.023633677991137372,0.051980007689350294,0.026788623941819134
0.7204968944099379,0.7092198581560284,0.8111489683891728,0.7880692599620494,EColi,4,2,random_live,48,136,1354,0.03545051698670606,0.011277036253909523,0.02307970842712348
0.7603833865814696,0.6571428571428571,0.8245930342608366,0.7615156546489563,EColi,4,2,random_live,64,136,1354,0.047267355982274745,0.1032405294386125,0.06307737961188031
0.7672955974842768,0.6938775510204082,0.8320745788377816,0.7889112903225806,EColi,4,2,random_live,96,136,1354,0.07090103397341212,0.07341804646386862,0.043163288515201015
0.7735849056603774,0.7027027027027027,0.8352782509937535,0.7947936432637571,EColi,4,2,random_live,128,136,1354,0.09453471196454949,0.07088220295767467,0.0404846077299964
0.7735849056603774,0.6938775510204082,0.8352782509937535,0.7889112903225806,EColi,4,2,random_live,136,136,1354,0.10044313146233383,0.07970735463996925,0.04636696067117296
0.0,0.0,0.5,0.5,EColi,4,3,spectral,1,136,1354,0.0007385524372230429,0.0,0.0
